MNXM1565@MNXC3,MNXM42@MNXC3,MNXM97@MNXC3,MNXM61@MNXC3,MNXM76@MNXC3,MNXM134@MNXC3,MNXM231@MNXC3,MNXM286@MNXC3,MNXM89557@MNXC3,MNXM227@MNXC3,MNXM4708@MNXC3,MNXM94@MNXC3,MNXM338@MNXC3,MNXM287@MNXC3,MNXM105630@MNXC3,MNXM91@MNXC3,MNXM461@MNXC3,MNXM685@MNXC3,MNXM362@MNXC3,MNXM58@MNXC3
0,-1.377550610360854,0.0024236245170125878,0.0021269613022553507,0.0019031170503884575,0.0013053677472528288,0.00400263173503216,0,2.451854627432124,0,0,0,0,0,0.0012728368917398864,0.007339242083465987,0,0,0,0
0,-1.3475889531776055,0.0018073481821758817,0.001586120133793682,0.0014191947297707752,0,0.002984847338954484,0,2.377617206444371,0,0,0,0,0,0,0.005473028410544983,0,0,0,0
0,-1.373851344821944,0.0023504134218069474,0.0020627115947181164,0.001845629067994548,0.0012659361431608316,0.003881723132660139,0,2.443013007020699,0,0,0,0,0,0.0012343879561855303,0.007117543570705606,0,0,0,0
0,-1.4078266120294176,0.003068418757096276,0.0026928296481762083,0.002409432654840301,0.001652654878040371,0.0050675136380697455,0,2.527904090443224,0,0,0,0,0,0.0016114693369058668,0.00929181393969932,0,0,0,0
0,-1.3933145982621085,0.002788435557399555,0.002447117729165503,0.0021895797867805497,0.0015018555128370318,0.004605119553294889,0,2.4921896256253766,0,0,0,0,0,0.001464428017947499,0.008443966235794442,0,0,0,0
0,-1.373740834751485,0.002354249562576207,0.002066078173537956,0.0018486413435572112,0.0012680022942494025,0.003888058544220513,0,2.4425765557187544,0,0,0,0,0,0.0012364026170614733,0.0071291602075140206,0,0,0,0
0,-1.377192525220782,0.0024235758447761937,0.002126918587733123,0.0019030788311996715,0.001305341532314364,0.004002551352515545,0,2.450267090843731,0,0,0,0,0,0.0012728113300998244,0.007339094693750706,0,0,0,0
0,-1.4394942527397614,0.0037530718995585207,0.003293677976480666,0.0029470469015504355,0.0020214100725649475,0.006198222778975272,0.0011167469199709664,2.6078742603656777,0,0,0.0012127606979585352,0,0,0.0019710348437136337,0.011365086891209531,0,0,0,0
0,-1.3260772252052757,0.0013531643022654373,0.0011875305297124122,0.0010625532286629275,0,0.002234759691916484,0,2.3231828022405243,0,0,0,0,0,0,0.004097664602468748,0,0,0,0
0,-1.406291672388168,0.0030475537376847225,0.00267451860678029,0.002393048691928521,0.0016414169477444607,0.005033054922100126,0,2.5241197694076485,0,0,0,0,0,0.0016005114652276817,0.009228630295757346,0,0,0,0
